,Date,MBS,CMBS,TIPS,FRN,Inflation Compensation,Notes & Bonds,Bills,Agencies,Total
0,2003-07-09,0.00,0.00,12814483000,,928695000,398852847000,239304992000,10000000,650982322000.00
1,2003-07-16,0.00,0.00,12814483000,,928695000,398852847000,239549686000,10000000,651227016000.00
2,2003-07-23,0.00,0.00,12814483000,,1468195000,398852847000,239691886000,10000000,651369216000.00
3,2003-07-30,0.00,0.00,12814483000,,928695000,398852847000,239725686000,10000000,651403016000.00
4,2003-08-06,0.00,0.00,12814483000,,1465167000,398852847000,239891686000,10000000,651569016000.00
5,2003-08-13,0.00,0.00,12814483000,,1468695000,398852847000,240141686000,10000000,651819016000.00
6,2003-08-20,0.00,0.00,12814483000,,1472188000,398852847000,240376486000,10000000,652053816000.00
7,2003-08-27,0.00,0.00,12814483000,,928695000,398852847000,240528186000,10000000,652205516000.00
8,2003-09-03,0.00,0.00,12814483000,,1479261000,398852847000,240784686000,10000000,652462016000.00
9,2003-09-10,0.00,0.00,13454483000,,1522527000,399594847000,241019786000,10000000,654079116000.00
10,2003-09-17,0.00,0.00,13454483000,,1526291000,399594847000,241366886000,10000000,654426216000.00
11,2003-09-24,0.00,0.00,13454483000,,1530122000,399594847000,241413986000,10000000,654473316000.00
12,2003-10-01,0.00,0.00,13454483000,,1535220000,399594847000,241601286000,10000000,654660616000.00
13,2003-10-08,0.00,0.00,13454483000,,1548107000,399594847000,241672386000,10000000,654731716000.00
14,2003-10-15,0.00,0.00,13454483000,,1560973000,399594847000,241879086000,10000000,654938416000.00
15,2003-10-22,0.00,0.00,13454483000,,1573862000,399594847000,242130986000,10000000,655190316000.00
16,2003-10-29,0.00,0.00,13454483000,,1586746000,401322447000,242308486000,10000000,657095416000.00
17,2003-11-05,0.00,0.00,13454483000,,1598563000,401322447000,242499986000,10000000,657286916000.00
18,2003-11-12,0.00,0.00,13454483000,,1609969000,402422447000,242792486000,10000000,658679416000.00
19,2003-11-19,0.00,0.00,13454483000,,1621412000,404669247000,242958086000,10000000,661091816000.00
20,2003-11-26,0.00,0.00,13454483000,,1632794000,406173047000,243252886000,10000000,662890416000.00
21,2003-12-03,0.00,0.00,13994483000,,1680002000,406173047000,243384886000,10000000,663562416000.00
22,2003-12-10,0.00,0.00,13994483000,,1676133000,406173047000,243766786000,0,663934316000.00
23,2003-12-17,0.00,0.00,13994483000,,1672335000,406173047000,244113386000,0,664280916000.00
24,2003-12-24,0.00,0.00,13994483000,,1668482000,406173047000,244380586000,,664548116000.00
25,2003-12-31,0.00,0.00,13994483000,,1664696000,406173047000,244832586000,,665000116000.00
26,2004-01-07,0.00,0.00,13994483000,,1655115000,406173047000,244897186000,,665064716000.00
27,2004-01-14,0.00,0.00,13994483000,,1645566000,406173047000,244984786000,,665152316000.00
28,2004-01-21,0.00,0.00,13994483000,,1636040000,406173047000,245028186000,,665195716000.00
29,2004-01-28,0.00,0.00,13994483000,,1626484000,406173047000,245265886000,,665433416000.00
30,2004-02-04,0.00,0.00,13994483000,,1620050000,406173047000,245504586000,,665672116000.00
31,2004-02-11,0.00,0.00,13994483000,,1615961000,408394047000,245846786000,,668235316000.00
32,2004-02-18,0.00,0.00,13994483000,,1611856000,409124047000,246055486000,,669174016000.00
33,2004-02-25,0.00,0.00,13994483000,,1607768000,409784047000,246141086000,,669919616000.00
34,2004-03-03,0.00,0.00,13994483000,,1612801000,409784047000,246240186000,,670018716000.00
35,2004-03-10,0.00,0.00,14464483000,,1639254000,410563247000,246372286000,,671400016000.00
36,2004-03-17,0.00,0.00,14464483000,,1656676000,410563247000,246468586000,,671496316000.00
37,2004-03-24,0.00,0.00,14464483000,,1674441000,411387597000,246468586000,,672320666000.00
38,2004-03-31,0.00,0.00,14464483000,,1692180000,411387597000,246539286000,,672391366000.00
39,2004-04-07,0.00,0.00,14464483000,,1712521000,411387597000,246729086000,,672581166000.00
40,2004-04-14,0.00,0.00,14464483000,,1732896000,411387597000,247132086000,,672984166000.00
41,2004-04-21,0.00,0.00,14464483000,,1753254000,411387597000,247332086000,,673184166000.00
42,2004-04-28,0.00,0.00,14464483000,,1773587000,411387597000,248757486000,,674609566000.00
43,2004-05-05,0.00,0.00,14464483000,,1796317000,411387597000,250162686000,,676014766000.00
44,2004-05-12,0.00,0.00,14464483000,,1819952000,411387597000,250162686000,,676014766000.00
45,2004-05-19,0.00,0.00,14464483000,,1843570000,413080197000,250229886000,,677774566000.00
46,2004-05-26,0.00,0.00,14464483000,,1867183000,413862897000,250438586000,,678765966000.00
47,2004-06-02,0.00,0.00,14464483000,,1887609000,414659497000,250471586000,,679595566000.00
48,2004-06-09,0.00,0.00,14464483000,,1899781000,415659497000,251908186000,,682032166000.00
49,2004-06-16,0.00,0.00,14464483000,,1912032000,416694497000,251921986000,,683080966000.00
50,2004-06-23,0.00,0.00,14464483000,,1924224000,416694497000,252093586000,,683252566000.00
51,2004-06-30,0.00,0.00,14464483000,,1936448000,416694497000,254295386000,,685454366000.00
52,2004-07-07,0.00,0.00,14464483000,,1958134000,416694497000,254775586000,,685934566000.00
53,2004-07-14,0.00,0.00,14862483000,,2016795000,418251497000,255178286000,,688292266000.00
54,2004-07-21,0.00,0.00,14862483000,,2039047000,420149597000,255247686000,,690259766000.00
55,2004-07-28,0.00,0.00,14862483000,,2061249000,421545797000,255247686000,,691655966000.00
56,2004-08-04,0.00,0.00,14862483000,,2077727000,421545797000,255247686000,,691655966000.00
57,2004-08-11,0.00,0.00,14862483000,,2089901000,421545797000,255247686000,,691655966000.00
58,2004-08-18,0.00,0.00,14862483000,,2101986000,422541497000,255254486000,,692658466000.00
59,2004-08-25,0.00,0.00,14862483000,,2114140000,422541497000,255322186000,,692726166000.00
60,2004-09-01,0.00,0.00,14862483000,,2123656000,422541497000,255330386000,,692734366000.00
61,2004-09-08,0.00,0.00,14862483000,,2117395000,422541497000,255347886000,,692751866000.00
62,2004-09-15,0.00,0.00,14862483000,,2111118000,423340797000,255388786000,,693592066000.00
63,2004-09-22,0.00,0.00,14862483000,,2104826000,424140797000,257053186000,,696056466000.00
64,2004-09-29,0.00,0.00,15262483000,,2134748000,424140797000,257079086000,,696482366000.00
65,2004-10-06,0.00,0.00,15262483000,,2135569000,425339097000,258848906000,,699450486000.00
66,2004-10-13,0.00,0.00,15262483000,,2137648000,425339097000,258877506000,,699479086000.00
67,2004-10-20,0.00,0.00,15262483000,,2139731000,426333497000,259077706000,,700673686000.00
68,2004-10-27,0.00,0.00,15262483000,,2141805000,430124797000,259200506000,,704587786000.00
69,2004-11-03,0.00,0.00,15262483000,,2146652000,431328297000,259392506000,,705983286000.00
70,2004-11-10,0.00,0.00,15683483000,,2176843000,431328297000,259719506000,,706731286000.00
71,2004-11-17,0.00,0.00,15683483000,,2185623000,432525797000,259739106000,,707948386000.00
72,2004-11-24,0.00,0.00,15683483000,,2194432000,432525797000,261190406000,,709399686000.00
73,2004-12-01,0.00,0.00,15683483000,,2204993000,432525797000,262476606000,,710685886000.00
74,2004-12-08,0.00,0.00,15683483000,,2226268000,436428797000,262733106000,,714845386000.00
75,2004-12-15,0.00,0.00,16108483000,,2262121000,436428797000,262861106000,,715398386000.00
76,2004-12-22,0.00,0.00,16108483000,,2283866000,436428797000,262861106000,,715398386000.00
77,2004-12-29,0.00,0.00,16108483000,,2305687000,436428797000,262970206000,,715507486000.00
78,2005-01-05,0.00,0.00,16108483000,,2313451000,436428797000,262970206000,,715507486000.00
79,2005-01-12,0.00,0.00,16108483000,,2315618000,436428797000,262970206000,,715507486000.00
80,2005-01-19,0.00,0.00,16108483000,,2317821000,436428797000,262970206000,,715507486000.00
81,2005-01-26,0.00,0.00,16108483000,,2320014000,436428797000,262970206000,,715507486000.00
82,2005-02-02,0.00,0.00,19108382000,,2355738000,433428898000,263005106000,,715542386000.00
83,2005-02-09,0.00,0.00,19108382000,,2336127000,433428898000,263005106000,,715542386000.00
84,2005-02-16,0.00,0.00,19108382000,,2316436000,433428898000,263005106000,,715542386000.00
85,2005-02-23,0.00,0.00,19108382000,,2296750000,433428898000,263005106000,,715542386000.00
86,2005-03-02,0.00,0.00,19108382000,,2285603000,433096031000,263005106000,,715209519000.00
87,2005-03-09,0.00,0.00,19108382000,,2295760000,433096031000,263005106000,,715209519000.00
88,2005-03-16,0.00,0.00,19108382000,,2305926000,433096031000,263005106000,,715209519000.00
89,2005-03-23,0.00,0.00,19108382000,,2316054000,433096031000,263005106000,,715209519000.00
90,2005-03-30,0.00,0.00,19108382000,,2326201000,433096031000,263005106000,,715209519000.00
91,2005-04-06,0.00,0.00,19108382000,,2352422000,432885264000,263005106000,,714998752000.00
92,2005-04-13,0.00,0.00,19108382000,,2381232000,432885264000,263005106000,,714998752000.00
93,2005-04-20,0.00,0.00,19108382000,,2410096000,432885264000,263005106000,,714998752000.00
94,2005-04-27,0.00,0.00,19108382000,,2438924000,434085264000,263005106000,,716198752000.00
95,2005-05-04,0.00,0.00,19108382000,,2473062000,434785264000,263005106000,,716898752000.00
96,2005-05-11,0.00,0.00,19108382000,,2511154000,435683264000,264262506000,,719054152000.00
97,2005-05-18,0.00,0.00,19108382000,,2549180000,435683264000,264288106000,,719079752000.00
98,2005-05-25,0.00,0.00,19108382000,,2587275000,436781264000,264514806000,,720404452000.00
99,2005-06-01,0.00,0.00,19108382000,,2624807000,438678364000,265014806000,,722801552000.00
100,2005-06-08,0.00,0.00,19108382000,,2658883000,438678364000,265014806000,,722801552000.00
101,2005-06-15,0.00,0.00,19108382000,,2692999000,438678364000,265014806000,,722801552000.00
102,2005-06-22,0.00,0.00,19533382000,,2760193000,438678364000,265014806000,,723226552000.00
103,2005-06-29,0.00,0.00,19533382000,,2795010000,438678364000,265014806000,,723226552000.00
104,2005-07-06,0.00,0.00,19533382000,,2795545000,437373764000,265014806000,,721921952000.00
105,2005-07-13,0.00,0.00,19533382000,,2790368000,437373764000,265014806000,,721921952000.00
106,2005-07-20,0.00,0.00,19533382000,,2785189000,437373764000,265014806000,,721921952000.00
107,2005-07-27,0.00,0.00,19533382000,,2779970000,437373764000,265014806000,,721921952000.00
108,2005-08-03,0.00,0.00,19533382000,,2778154000,437373764000,265014806000,,721921952000.00
109,2005-08-10,0.00,0.00,19533382000,,2780744000,437373764000,265014806000,,721921952000.00
110,2005-08-17,0.00,0.00,19533382000,,2783323000,438763764000,266258806000,,724555952000.00
111,2005-08-24,0.00,0.00,19533382000,,2785935000,439751764000,267507806000,,726792952000.00
